STN_NO,COUNTRY_ABBR
012240,NO
020690,SW
020870,SW
021190,SW
032690,UK
033450,UK
039290,UK
039790,EI
040480,IC
041300,IC
060100,FO
061443,DA
063401,NL
071910,FR
092640,GM
123766,PL
125990,PL
129700,HU
132240,HR
156500,BU
250020,RS
268320,BO
273210,RS
293480,RS
299060,KZ
307380,RS
346350,RS
409470,AF
409810,AF
411140,SA
413260,YM
415190,PK
415650,PK
418900,BG
419360,BG
421890,IN
432260,IN
433460,IN
433600,IN
433680,IN
443250,MG
444040,NP
473120,JA
484570,TH
486940,SN
488100,VM
489180,VM
536630,CH
546530,CH
561940,CH
576650,CH
576660,CH
586260,CH
605200,AG
614030,MR
632100,SO
635320,ET
636870,KE
637330,TZ
654780,GH
675830,ZA
682400,BC
687540,SF
701046,US
710920,CA
713470,CA
714600,CA
716261,CA
716660,CA
720575,US
722821,US
724373,US
724766,US
724838,US
725469,US
726664,US
727447,US
728050,CA
766342,MX
768450,MX
783780,CU
786720,ES
787040,HO
812000,NS
819890,BR
854050,CI
865550,UY
868170,BR
872810,AR
877500,AR
890560,AY
935460,NZ
939090,NZ
940481,PP
945910,AS
949510,AS
956990,AS
965650,ID
974500,ID
994019,US
994030,US
994130,US
994160,US
995010,UK
997335,US
997986,US
010580,NO
011520,NO
011751,NO
022900,SW
023000,SW
026560,SW
027700,FI
027800,FI
037020,UK
037970,UK
042410,GL
074860,FR
075293,FR
075600,FR
103060,GM
104050,GM
105170,GM
105460,GM
112960,AU
113480,AU
116490,EZ
121000,PL
126980,PL
130120,SI
134630,MJ
151500,RO
171750,TU
172400,TU
228890,RS
237090,RS
245070,RS
250510,RS
250560,RS
289780,KZ
319850,RS
339830,UP
378500,AJ
384020,RS
407807,IR
415160,PK
416750,PK
417820,PK
420970,IN
421110,IN
428840,IN
431090,IN
431610,IN
433730,IN
471243,KS
476880,JA
480800,BM
488380,VM
543424,CH
545280,CH
546620,CH
564410,CH
575060,CH
579720,CH
581410,CH
588340,CH
594720,CH
618860,SL
650150,NI
654720,GH
655450,IV
671990,FR
682905,SF
683510,SF
683610,SF
684540,LT
686770,SF
687180,SF
698704,CO
703880,US
712360,CA
712520,CA
714960,CA
715150,CA
715274,CA
716344,CA
720168,US
720594,US
722098,US
722345,US
723020,US
723513,US
725533,US
726248,CA
726911,US
727507,US
727935,US
728830,CA
729085,CA
729320,CA
729370,CA
729680,CA
740800,CA
747255,US
747945,US
747986,US
749264,BM
749510,IT
764057,MX
766920,MX
810060,GY
824250,BR
827950,BR
832480,BR
868130,BR
896600,AY
914130,FM
918020,CW
941370,AS
944750,AS
946020,AS
949010,AS
958589,AS
964910,MY
984300,RP
984320,RP
994062,US
994670,US
997172,VQ
997197,CA
997224,EI
997905,US
998267,US
998426,US
011060,NO
014930,NO
020900,SW
024330,SW
024940,SW
026090,SW
028750,FI
029820,FI
031580,UK
039240,UK
062670,NL
064310,BE
066490,SZ
074690,FR
080800,SP
080940,SP
089600,SP
090930,GM
110150,AU
111570,AU
121070,PL
150730,RO
152370,RO
153990,RO
154220,RO
161530,IT
166510,GR
206490,RS
222920,RS
229080,RS
233240,RS
261200,EN
282570,RS
285980,RS
304730,RS
309490,RS
310830,RS
331240,BO
337770,UP
338620,UP
339110,UP
339660,UP
351250,RS
375780,AJ
378320,AJ
379880,AJ
386270,KG
404630,MU
407120,IR
407803,IR
409780,AF
409860,AF
411770,QA
425990,IN
428830,IN
433360,IN
450390,CH
475530,JA
476340,JA
485560,TH
514960,CH
531490,CH
534360,CH
535770,CH
543780,CH
561510,CH
569820,CH
579580,CH
584760,CH
585020,CH
585560,CH
599380,CH
599480,CH
619710,RE
634510,ET
637100,KE
646560,CT
652850,CM
676250,ZA
677610,ZI
680281,BC
685120,SF
689310,SF
692644,US
700868,US
701945,US
710170,CA
711234,CA
711490,CA
712073,CA
712350,CA
715460,CA
716293,CA
718432,CA
719370,CA
720329,US
720411,US
720993,US
722575,US
722693,US
723055,US
723156,US
724190,US
724925,US
725030,US
725621,US
726278,CA
726366,US
727846,US
728460,CA
729490,CA
742513,US
749009,UK
749136,GL
749244,IN
749336,CH
764710,MX
782623,CU
800940,CO
804235,VE
814020,FG
817320,BR
866860,BR
867360,BR
867530,BR
869260,BR
869540,BR
869640,BR
872814,AR
915600,NH
918220,NE
930230,NZ
933370,NZ
933740,NZ
945860,AS
945951,AS
947220,AS
949680,AS
957030,AS
959680,AS
994010,US
994015,US
994070,US
994580,US
997797,US
998165,US
998243,US
998256,US
998281,US
010840,NO
023191,SW
023540,SW
029680,FI
033230,UK
033880,UK
035900,UK
040270,IC
061990,DA
067710,SZ
100440,GM
105010,GM
106265,GM
107620,GM
108644,GM
118560,LO
153400,RO
153890,RO
154470,RO
161210,IT
161920,IT
170200,TU
228760,RS
230290,RS
265650,RS
271060,RS
283960,RS
295590,RS
303370,RS
305980,RS
307450,RS
320690,RS
371960,GG
375630,GG
377130,AM
407801,IR
412580,MU
412650,MU
413440,YM
424390,IN
429160,IN
432450,IN
470250,KN
476150,JA
484800,TH
485577,TH
505570,CH
514310,CH
524180,CH
534800,CH
538660,CH
555780,CH
567770,CH
580440,CH
605930,AG
610530,NG
619000,SH
623665,EG
624320,EG
628700,ET
651230,NI
652030,NI
654570,GH
655020,UV
670250,MA
673410,MZ
675510,ZA
687370,SF
692194,KS
700867,US
702035,US
711800,CA
711880,CA
712490,CA
712500,CA
714110,CA
715250,CA
716220,CA
718570,CA
718571,CA
719000,CA
720345,US
720468,US
720641,US
720956,US
722480,US
722546,US
724457,US
724508,US
725810,US
726838,US
727675,US
741410,CA
741940,CA
744672,US
747188,US
747830,US
762555,MX
764580,MX
766875,MX
766890,MX
812050,NS
816090,BR
819050,BR
821810,BR
836727,BR
840720,EC
844740,PE
868180,BR
868580,BR
868630,BR
869110,BR
869780,BR
889020,SX
912460,WQ
913140,PS
913650,RM
913760,RM
917400,WS
919540,FP
942290,AS
945150,AS
945250,AS
947160,AS
948780,AS
949830,AS
976860,ID
984280,RP
997203,US
010410,NO
011410,NO
021140,SW
027160,FI
028680,FI
036030,UK
040920,IC
061260,DA
071970,FR
072950,FR
075860,FR
076490,FR
080420,SP
094880,GM
121500,PL
125310,PL
125700,PL
129350,HU
140260,SI
143210,HR
153000,RO
155254,BU
173200,TU
175000,CY
241050,RS
250340,RS
261240,EN
284230,RS
295630,RS
305370,RS
315340,RS
316380,RS
332960,UP
339960,UP
340030,RS
341680,RS
342470,RS
371870,GG
387670,TX
406600,IZ
415205,PK
424160,IN
425870,IN
427000,IN
428740,IN
470900,KS
478090,JA
517770,CH
528560,CH
529080,CH
554720,CH
580050,CH
587350,CH
589310,CH
604520,AG
606670,AG
643800,RW
650100,NI
675410,ZA
677750,ZI
679640,ZI
681910,SF
682672,SF
682675,BC
689060,SH
691294,SO
702716,US
710690,CA
710734,CA
711100,CA
711881,CA
712090,CA
712860,CA
713800,CA
714263,CA
716000,CA
717770,CA
719053,CA
720946,US
722210,US
722403,US
724325,US
725203,US
725377,US
725871,US
727834,US
729500,CA
744900,US
747756,US
788940,GP
789480,ST
819270,BR
825860,BR
825990,BR
834640,BR
835380,BR
838310,BR
839820,BR
844250,PE
847210,PE
854480,CI
855800,CI
871960,AR
890270,AY
895780,AY
916910,FJ
944110,AS
946370,AS
948880,AS
949740,AS
953170,AS
955020,AY
961635,ID
969355,ID
984425,RP
992180,US
995620,FR
996380,UK
997434,US
997454,US
998215,VQ
998431,US
998494,US
A00021,US
014710,NO
028650,FI
028790,FI
033540,UK
039140,UK
049999,GL
060230,DA
061730,DA
066060,SZ
069900,LS
070030,FR
080070,SP
124650,PL
140250,SI
141110,SI
161200,IT
162250,IT
172800,TU
208710,RS
217390,RS
236040,RS
260720,RS
264060,LG
267110,RS
270030,RS
275490,RS
278480,RS
287050,RS
288430,KZ
298360,RS
300140,RS
310960,RS
319020,RS
321680,RS
370660,RS
375970,RS
377060,AM
406660,IZ
408200,IR
409903,AF
411640,QA
413253,YM
417380,PK
419220,BG
421120,IN
426409,IN
430860,IN
442970,MG
474130,JA
474720,JA
476350,JA
478490,JA
484076,TH
489559,LA
528330,CH
547720,CH
560380,CH
576060,CH
585620,CH
588370,CH
599450,CH
601200,MO
601300,MO
602000,MO
604591,AG
636950,KE
648514,CM
651000,NI
651670,NI
680540,BC
681863,SF
682760,SF
683350,SF
685830,SF
688230,SF
689263,SF
690260,US
701333,US
703870,US
710080,CA
710376,CA
715110,CA
718740,CA
718860,CA
720644,US
722066,US
722095,US
722310,US
723446,US
723550,US
723850,US
724040,US
724286,US
725050,US
725340,US
726464,US
726546,US
727468,US
747686,US
749075,US
749135,GL
749334,JA
765825,MX
787050,HO
787720,CS
836590,BR
836793,BR
837880,BR
838510,BR
840052,EC
853150,BL
869730,BR
869820,BR
879340,AR
896250,AY
917880,TN
919450,FP
920140,PP
942120,AS
956460,AS
958290,AS
959060,AS
982310,RP
994025,US
994150,US
997130,US
010280,NO
012140,NO
022690,SW
024640,SW
024720,SW
025620,SW
028740,FI
029660,FI
030350,UK
039760,EI
042070,GL
060222,DA
064785,BE
074870,FR
081763,SP
102620,GQ
104490,GM
106074,GM
107360,GM
110110,AU
113550,AU
114234,EZ
125270,PL
143080,HR
151580,RO
155300,BU
161540,IT
162810,IT
166000,GR
171280,TU
229250,RS
257670,RS
265110,RS
273490,RS
286740,RS
287670,KZ
308740,RS
309780,RS
313730,RS
333250,UP
334390,UP
344150,UP
344320,RS
349640,RS
409530,AF
409703,AF
410320,SA
415180,PK
419350,BG
442590,MG
465890,CH
471820,KS
476170,JA
477900,JA
479400,JA
480040,BM
480850,BM
480950,BM
484510,TH
486870,SN
489526,LA
512320,CH
539750,CH
540680,CH
547360,CH
570710,CH
573060,CH
576630,CH
582380,CH
585170,CH
601350,MO
603600,AG
651080,NI
678710,ZI
690014,US
690186,CO
692154,KS
697204,HU
700637,US
702495,US
702987,US
703884,US
710445,CA
714795,CA
718390,CA
718650,CA
719194,CA
719510,CA
720396,US
720596,US
722245,US
722925,US
723060,US
724430,US
724461,US
724828,US
725184,US
725264,US
726185,US
726408,US
727915,US
741400,CA
749055,US
749211,CA
749430,AS
765710,MX
766870,MX
781090,BF
782800,CU
784730,DR
786475,GT
789220,MB
804190,VE
804310,VE
824600,BR
827530,BR
832950,BR
836540,BR
838830,BR
841115,EC
858860,CI
869880,BR
874480,AR
875500,AR
890420,AY
912030,FM
913240,FM
920145,PP
941180,AS
943670,AS
947680,AS
948240,AS
953120,AS
957730,AS
958730,AS
965970,ID
994560,US
996070,UK
997060,US
998302,US
012400,NO
020830,SW
023270,SW
030260,UK
030700,UK
031110,UK
032290,UK
033465,UK
038670,UK
039280,UK
041600,IC
043130,GL
062400,NL
063500,NL
073820,FR
075030,FR
076310,FR
080450,SP
095480,GM
105445,GM
109000,GM
113600,AU
151110,RO
161550,IT
163510,IT
172006,TU
